x,y,height, bank_angle
916.429068,613.069201,2.129523,-0.160570
922.650955,605.074460,2.157665,-0.147189
928.563928,596.849305,2.184136,-0.133808
934.152295,588.400200,2.209025,-0.120427
938.615841,581.209287,2.229258,-0.107047
942.803825,573.854646,2.247699,-0.093666
946.707524,566.345331,2.264378,-0.080285
951.118183,557.225585,2.282305,-0.066904
955.164205,547.938766,2.298920,-0.053523
958.828883,538.495734,2.313857,-0.040142
962.080308,528.903271,2.326493,-0.026762
964.908768,519.178328,2.335466,-0.013381
967.305214,509.338268,2.340022,0.000000
969.285224,499.406542,2.339895,0.000000
970.858918,489.402845,2.335479,0.000000
972.044609,479.345590,2.327352,0.000000
972.872989,469.250550,2.315850,0.000000
973.397793,459.132487,2.301064,0.000000
973.686681,449.002798,2.282722,0.000000
973.814166,438.868636,2.260933,0.000000
973.849786,428.733324,2.236370,0.000000
973.842083,418.598140,2.209938,0.000000
973.816746,408.463054,2.181810,0.000000
973.771457,398.327930,2.151892,0.000000
973.700185,388.192764,2.120757,0.000000
973.600538,378.057700,2.089173,0.000000
973.479545,367.922763,2.057463,0.000000
973.350820,357.787877,2.026566,0.000000
973.221064,347.652989,1.997571,0.000000
973.090714,337.518087,1.972307,0.000000
972.958355,327.383186,1.952252,0.000000
972.816307,317.248390,1.938714,0.000000
972.666118,307.113687,1.932502,0.000000
972.510501,296.979043,1.933172,0.000000
972.355945,286.844386,1.940460,0.000000
972.209133,276.709617,1.954097,0.000000
972.053196,266.575018,1.973973,0.000000
971.866970,256.441024,2.000133,0.000000
971.616228,246.308507,2.032916,0.000000
971.238948,236.180763,2.071174,0.000000
970.670759,226.063126,2.114565,0.000000
969.853803,215.963292,2.163407,-0.008028
968.735439,205.894514,2.220631,-0.016057
967.264453,195.873726,2.289167,-0.024085
965.346072,185.931125,2.371490,-0.032114
962.927335,176.101591,2.454494,-0.040142
960.012301,166.404424,2.527937,-0.048171
956.681581,156.838211,2.584933,-0.056199
953.002768,147.398539,2.633167,-0.064228
948.987903,138.097370,2.676731,-0.072256
944.606579,128.964042,2.719117,-0.080285
939.870761,120.008832,2.759328,-0.088313
934.799515,111.237858,2.797281,-0.096342
929.420054,102.652597,2.830152,-0.104370
923.733429,94.268146,2.859591,-0.112399
917.734034,86.104958,2.886344,-0.120427
911.420999,78.182486,2.910861,-0.128456
904.800785,70.514614,2.933446,-0.136484
897.888478,63.108421,2.953882,-0.144513
890.698993,55.971003,2.972168,-0.152541
883.240049,49.116221,2.988248,-0.160570
875.515624,42.562389,3.002346,-0.150534
867.533593,36.325169,3.014511,-0.140499
859.310907,30.408258,3.025126,-0.130463
850.866179,24.811934,3.034530,-0.120427
843.683590,20.334699,3.042216,-0.110392
836.337608,16.131287,3.048012,-0.100356
828.837367,12.210099,3.051385,-0.090321
819.729173,7.775042,3.052249,-0.080285
810.458544,3.690729,3.049876,-0.070249
801.034772,-0.024635,3.043686,-0.060214
791.464162,-3.340453,3.033074,-0.050178
781.759952,-6.240612,3.017359,-0.040142
771.939880,-8.717626,2.996100,-0.030107
762.022601,-10.767408,2.968820,-0.020071
752.026921,-12.391341,2.935649,-0.010036
741.971458,-13.603855,2.897140,0.000000
731.876774,-14.456745,2.854529,0.000000
721.759395,-15.016921,2.809394,0.000000
711.630885,-15.360515,2.763628,0.000000
701.497627,-15.548933,2.718317,0.000000
691.362744,-15.637527,2.673300,0.000000
681.227602,-15.662610,2.627667,0.000000
671.092476,-15.647590,2.580509,0.000000
660.957354,-15.595629,2.531596,0.000000
650.822254,-15.511844,2.481054,0.000000
640.687311,-15.400511,2.429877,0.000000
630.552457,-15.276432,2.378397,0.000000
620.417611,-15.150503,2.326705,0.000000
610.282712,-15.028285,2.274816,0.000000
600.147767,-14.908266,2.223728,0.000000
590.012813,-14.787694,2.174276,0.000000
579.877872,-14.664427,2.127381,0.000000
569.742990,-14.534984,2.083268,0.000000
559.608143,-14.401208,2.041822,0.000000
549.473253,-14.269981,2.002175,0.000000
539.338268,-14.145695,1.963715,0.000000
529.203198,-14.027983,1.926237,0.000000
519.068110,-13.911119,1.889895,0.000000
508.933068,-13.790048,1.854643,0.000000
497.129105,-13.640284,1.817753,0.000000
485.325183,-13.487052,1.780622,0.000000
473.521229,-13.336940,1.742761,0.000000
463.386149,-13.219006,1.707288,0.000000
453.251032,-13.103721,1.673103,0.000000
443.115869,-12.992095,1.640867,0.000000
432.980687,-12.882863,1.609947,0.000000
422.845480,-12.778147,1.579648,0.000000
412.710255,-12.678553,1.548915,0.000000
402.575072,-12.574254,1.517559,0.000000
392.439957,-12.462115,1.485051,0.000000
382.304927,-12.338488,1.452305,0.000000
372.170000,-12.206295,1.419311,0.000000
362.035129,-12.069822,1.387077,0.000000
351.900238,-11.934614,1.356006,0.000000
341.765260,-11.805943,1.326209,0.000000
331.630218,-11.681588,1.297066,0.000000
321.495197,-11.555565,1.267770,0.000000
311.360277,-11.421626,1.238016,0.000000
301.225430,-11.282387,1.208062,0.000000
291.090622,-11.140235,1.178028,0.000000
280.955773,-11.001027,1.147833,0.000000
270.820831,-10.868970,1.117003,0.000000
260.685805,-10.743770,1.086303,0.000000
250.550711,-10.624031,1.056425,0.000000
240.415627,-10.502960,1.027658,0.000000
230.280566,-10.379673,0.999670,0.000000
220.145505,-10.256243,0.972194,0.000000
210.010425,-10.134394,0.945055,0.000000
199.875359,-10.011377,0.917555,0.000000
189.740345,-9.884333,0.889610,0.000000
179.605336,-9.757128,0.861380,0.000000
169.470349,-9.628275,0.832992,0.000000
159.335416,-9.495350,0.804260,0.000000
149.200504,-9.360845,0.774246,0.000000
139.065624,-9.224150,0.743321,0.000000
128.930746,-9.087615,0.711540,0.000000
118.795887,-8.949576,0.679833,0.000000
108.661012,-8.812612,0.648137,0.000000
98.526085,-8.679579,0.616548,0.000000
88.391102,-8.551098,0.585343,0.000000
76.587133,-8.400106,0.550646,0.000000
64.783252,-8.242533,0.517499,0.000000
52.979476,-8.076646,0.485916,0.000000
42.844707,-7.932495,0.459644,0.000000
32.709836,-7.795906,0.433351,0.000000
