x,y,z,bank_angle
543.669736,-6.392945,4.174779,0.222215
532.983787,-6.344775,3.659884,0.166486
522.315480,-6.302913,3.188547,0.112118
511.940982,-6.266933,2.757684,0.060967
503.635173,-6.215490,2.477680,0.029516
495.616478,-6.164963,2.224158,0.000599
487.410383,-6.105622,1.994382,-0.025473
477.661161,-6.064212,1.673451,-0.065125
469.987689,-6.024917,1.464021,-0.089426
462.711165,-5.999522,1.273498,-0.111305
454.462693,-5.961025,1.099744,-0.130418
443.681318,-5.919288,0.860024,-0.161777
432.372131,-5.865283,0.643209,-0.189253
421.730011,-5.822680,0.446763,-0.213675
412.473566,-5.787096,0.265652,-0.235927
403.626652,-5.757163,0.098280,-0.255783
394.616796,-5.722797,-0.055951,-0.273574
384.714873,-5.685465,-0.193501,-0.292255
376.777821,-5.640839,-0.284985,-0.303624
369.322226,-5.600330,-0.363813,-0.313043
361.825024,-5.547825,-0.433716,-0.319023
352.178389,-5.498680,-0.525028,-0.332990
341.950028,-5.443471,-0.605217,-0.343244
331.520294,-5.402669,-0.674416,-0.351789
321.283112,-5.366961,-0.734970,-0.354967
313.200915,-5.325803,-0.777350,-0.365941
305.416228,-5.284889,-0.813536,-0.371297
297.282432,-5.229468,-0.843335,-0.372017
286.883264,-5.185914,-0.875938,-0.382892
276.301600,-5.125873,-0.901097,-0.386922
266.091623,-5.082648,-0.919872,-0.387398
257.112335,-5.035708,-0.934656,-0.391352
247.721573,-4.994277,-0.945117,-0.392869
235.876683,-4.939133,-0.946475,-0.394788
222.708608,-4.880038,-0.942510,-0.390781
211.968815,-4.824362,-0.941707,-0.392470
203.502012,-4.778499,-0.941466,-0.395868
194.784364,-4.728363,-0.939216,-0.385470
181.716714,-4.681832,-0.915218,-0.393501
168.211559,-4.620613,-0.886260,-0.387218
157.334394,-4.563509,-0.865924,-0.386551
148.977947,-4.503278,-0.853949,-0.385574
140.993803,-4.461741,-0.840409,-0.376494
130.965493,-4.419723,-0.811577,-0.378277
120.606858,-4.372742,-0.780341,-0.373187
110.570159,-4.324411,-0.747487,-0.360422
102.640176,-4.276348,-0.729818,-0.362951
95.158585,-4.239454,-0.710577,-0.359112
87.478028,-4.192637,-0.689786,-0.348698
77.860082,-4.146972,-0.652352,-0.344854
68.088078,-4.090272,-0.613423,-0.334677
58.424208,-4.025251,-0.573683,-0.323430
48.869275,-3.948408,-0.531653,-0.311135
39.398296,-3.874525,-0.489413,-0.297400
30.453464,-3.831190,-0.448058,-0.280891
21.815950,-3.801139,-0.407497,-0.262190
