E,N,U
304.8404474525324,0.9846689136965381,-18.739381084346185
295.8156039957772,0.9800953681486533,-18.599793332130282
286.4243470432614,0.9435255611085438,-18.447358498600366
276.89540841025484,0.9109478360010996,-18.31119720784241
267.88833006480576,0.8813336503176572,-18.25554581228757
258.02406792556894,0.8147417254505882,-18.133088748580718
248.47070375820599,0.8111223571032582,-18.014913353808225
239.29041470387222,0.8254744853249179,-17.94470129884649
221.16078441016487,0.7721313007947401,-17.684364501447973
212.07265151513565,0.7184411370822659,-17.543917487153855
203.42088338210726,0.6957240681611552,-17.39661713984442
194.99784443760637,0.6309878372427988,-17.39064048262418
185.04475885819332,0.6162855446538629,-17.23734698698707
165.90139079214367,0.5508142613668667,-16.97700890044403
156.7222134161382,0.5630471954354874,-16.908507872345986
147.93165389386627,0.5322579748585099,-16.795466764736712
139.4764162215196,0.45944924358322226,-16.690133231779583
130.44935509830714,0.4436411087698602,-16.552253085498307
121.48780411423492,0.4208188315587904,-16.445207219389097
111.9710843127286,0.44499383174066764,-16.296192816933114
103.38149643217761,0.37313967064917364,-16.116341011041452
94.79079903526392,0.3192736341254232,-16.052119618202585
86.6231426417693,0.36639019659305205,-16.010167104901402
77.73043332677071,0.33350549994136713,-15.83545426871966
68.8899100052115,0.27660770584953553,-15.701854162889575
60.32253130996361,0.290694817534181,-15.658188812512703
50.463827579975025,0.2807810425312063,-15.500607561103411
41.65439450853795,0.25584533868546444,-15.286492782963139
33.26689066160938,0.23289514779406062,-15.110064056180027
24.40749291736752,0.21293557438125532,-14.996162707036975
15.734632333690985,0.16196313326202993,-14.912239316048117
7.394874007561192,0.15397828309076855,-14.91653818584624
