x,y,z,bank_angle
683.244176,710.426501,0.488895,-0.032628
691.453837,710.218058,0.529338,-0.035558
699.665354,710.034453,0.573315,-0.038662
706.293715,709.900669,0.617505,-0.043752
712.614881,709.766200,0.664824,-0.048527
718.936411,709.568353,0.714490,-0.053111
726.919923,709.222330,0.769391,-0.058547
735.066270,708.689730,0.827483,-0.063510
743.335292,707.956855,0.889511,-0.067625
750.178638,707.224396,0.950767,-0.074176
757.118008,706.279244,1.014798,-0.078994
764.106762,705.095136,1.078583,-0.082208
772.396615,703.482547,1.148659,-0.086408
780.355752,701.656879,1.219574,-0.089950
786.662535,700.032629,1.286748,-0.095520
793.061076,698.114037,1.351848,-0.100514
799.667958,695.858416,1.413573,-0.104133
807.682503,692.886542,1.476885,-0.109901
815.552498,689.649904,1.537466,-0.114662
823.301632,686.206309,1.594937,-0.117806
831.197113,682.374881,1.649095,-0.119649
837.565555,679.111414,1.695969,-0.124696
843.854585,675.575184,1.739764,-0.129030
849.921354,671.912799,1.781062,-0.131823
857.213487,667.270975,1.823848,-0.134432
864.073144,662.636047,1.864082,-0.135571
870.801943,657.695677,1.901704,-0.136393
876.325526,653.438138,1.933989,-0.141420
881.943647,648.822610,1.964880,-0.143333
887.150951,644.276923,1.994385,-0.143604
893.412612,638.534570,2.024835,-0.145915
899.491973,632.524463,2.053494,-0.146208
905.681223,626.021765,2.080509,-0.146590
910.686195,620.515347,2.104418,-0.151457
915.645437,614.689634,2.127696,-0.152969
920.305070,608.769461,2.150476,-0.149362
925.679477,601.528191,2.174637,-0.151385
930.771672,594.210301,2.196580,-0.153408
935.681757,586.612525,2.217220,-0.154285
940.431199,578.715164,2.237010,-0.154350
944.816451,570.753893,2.255902,-0.152756
948.228780,564.157563,2.270422,-0.155850
951.387027,557.480184,2.283456,-0.155931
954.380385,550.653662,2.295431,-0.153387
957.679560,542.601859,2.309292,-0.154743
960.575146,534.718235,2.321849,-0.154421
963.156134,526.672062,2.333771,-0.154084
965.546861,518.236944,2.342871,-0.153924
967.733077,509.313682,2.349315,-0.153085
969.305379,501.947589,2.347643,-0.156565
970.594720,494.272777,2.342683,-0.158625
971.550600,486.646378,2.334049,-0.157784
972.527290,477.284287,2.326071,-0.160119
973.216602,467.998439,2.314671,-0.159146
973.625005,458.648662,2.299992,-0.157362
973.839474,449.211684,2.282099,-0.155672
973.878895,439.820537,2.262235,-0.151246
973.858752,430.666909,2.240425,-0.144433
973.846943,421.431206,2.216928,-0.136230
973.839020,411.966838,2.191574,-0.127540
973.834608,402.220276,2.164071,-0.119236
973.778592,392.725508,2.135284,-0.111707
973.667575,382.188042,2.105398,-0.107564
973.543297,372.686282,2.074630,-0.101927
973.399185,362.099575,2.047507,-0.094833
973.303537,354.759438,2.021122,-0.090483
973.214543,347.029054,1.998656,-0.086063
973.130798,340.658389,1.977135,-0.081478
973.028851,332.541329,1.961571,-0.078355
972.919124,324.062714,1.949822,-0.073904
972.832037,316.941678,1.938803,-0.071587
972.716269,309.666771,1.931095,-0.069045
972.596253,302.311647,1.928126,-0.067154
972.441766,293.446785,1.932631,-0.065566
972.343792,286.280644,1.938529,-0.065560
972.246935,279.193579,1.946476,-0.065052
972.154898,272.040283,1.957332,-0.064396
972.027835,263.163572,1.975184,-0.065033
971.910828,255.907220,1.994816,-0.066450
971.771066,248.656150,2.017863,-0.067994
971.578761,241.587786,2.043584,-0.068873
971.225583,232.112583,2.078961,-0.071348
970.737151,222.993657,2.121527,-0.073706
969.534333,210.824727,2.175181,-0.075065
968.374523,201.217222,2.230141,-0.077795
966.922150,191.802133,2.287972,-0.080320
966.065235,187.370147,2.339863,-0.084907
964.785624,181.821243,2.393912,-0.089515
963.750695,177.718267,2.443798,-0.094571
962.135944,171.887745,2.494733,-0.099211
960.212331,165.579198,2.544711,-0.103079
956.039809,154.311969,2.595301,-0.106278
952.226893,144.712624,2.641090,-0.113375
948.068113,135.244024,2.680736,-0.118484
944.978482,128.943467,2.715966,-0.120756
941.690653,122.532432,2.747922,-0.124687
938.103597,116.115685,2.778241,-0.128192
934.338151,109.896625,2.804734,-0.130871
930.444835,103.607052,2.828994,-0.134014
926.306695,97.334459,2.850956,-0.135150
921.887281,91.065003,2.873753,-0.135173
916.291817,83.605540,2.897089,-0.138197
910.299967,76.252695,2.918288,-0.138764
905.243227,70.393882,2.935519,-0.141534
899.792880,64.506229,2.951319,-0.143310
894.273517,58.952862,2.967508,-0.144004
887.396016,52.357359,2.983338,-0.144225
881.784871,47.283440,2.996556,-0.146291
875.850804,42.313142,3.006678,-0.147094
869.791278,37.598768,3.015899,-0.146285
862.312548,32.057503,3.024598,-0.149427
854.635629,26.823690,3.032952,-0.150688
848.196376,22.665981,3.039977,-0.152317
841.526915,18.674699,3.046179,-0.152221
834.767333,14.922071,3.050876,-0.151159
826.471409,10.587060,3.054497,-0.152199
817.738752,6.455873,3.055838,-0.149393
810.476375,3.245497,3.054506,-0.152329
803.004329,0.258361,3.050263,-0.152115
795.804132,-2.319972,3.043192,-0.149958
786.948601,-5.181935,3.032922,-0.150297
777.924298,-7.705465,3.018535,-0.149207
770.341773,-9.567963,3.000249,-0.151466
762.579187,-11.129425,2.977554,-0.151561
755.505751,-12.230261,2.950262,-0.147525
746.790676,-13.387198,2.917759,-0.149618
738.106136,-14.221969,2.881418,-0.151145
728.755580,-14.928273,2.843723,-0.152500
721.192489,-15.336531,2.807109,-0.151391
713.701572,-15.555513,2.771665,-0.147687
705.994877,-15.604490,2.735965,-0.142121
695.908350,-15.642050,2.697734,-0.135096
687.374264,-15.665335,2.659177,-0.129947
678.745613,-15.697899,2.618232,-0.122641
670.475603,-15.704055,2.575606,-0.114440
660.419240,-15.636414,2.529253,-0.110720
650.042913,-15.531374,2.480960,-0.105735
639.217268,-15.375661,2.430072,-0.099396
630.048253,-15.260201,2.380001,-0.094939
620.810398,-15.143027,2.329303,-0.088805
611.826074,-15.040412,2.279836,-0.081388
601.124977,-14.922811,2.228775,-0.078803
590.825640,-14.800497,2.179609,-0.075180
580.488739,-14.675900,2.133293,-0.070854
569.907747,-14.544737,2.089745,-0.066258
561.041492,-14.436982,2.051129,-0.063756
552.018494,-14.308243,2.014012,-0.059975
543.137619,-14.169084,1.978646,-0.055710
532.656188,-14.039346,1.942048,-0.053815
522.424399,-13.949148,1.906606,-0.051233
512.251458,-13.861662,1.871799,-0.048012
503.763830,-13.771177,1.841235,-0.045919
495.243817,-13.624307,1.811609,-0.043366
486.819108,-13.491283,1.783085,-0.040401
476.761828,-13.346840,1.751674,-0.039358
469.475772,-13.281332,1.723455,-0.037127
462.172322,-13.204118,1.694750,-0.034928
454.502275,-13.132044,1.667292,-0.033181
443.348720,-12.997023,1.636804,-0.032088
432.198867,-12.856150,1.607416,-0.031157
421.396364,-12.731406,1.576852,-0.030039
412.380955,-12.660618,1.546752,-0.029022
403.342785,-12.593399,1.517188,-0.027938
394.241325,-12.510477,1.488127,-0.026865
384.057284,-12.370028,1.458708,-0.026129
376.511965,-12.271401,1.432674,-0.024634
369.014578,-12.152075,1.406678,-0.023160
361.831417,-12.061298,1.381928,-0.021804
352.198846,-11.936550,1.354206,-0.021206
342.296463,-11.800953,1.327798,-0.020608
332.165903,-11.679773,1.300012,-0.019799
321.833632,-11.571441,1.270811,-0.018906
313.499604,-11.486376,1.244952,-0.018196
305.242190,-11.365908,1.219554,-0.017290
296.975893,-11.230023,1.194938,-0.016352
286.701546,-11.059878,1.165158,-0.016520
276.548227,-10.927134,1.135583,-0.016392
266.478553,-10.805239,1.105448,-0.016086
257.459447,-10.709894,1.075834,-0.015992
248.362431,-10.603557,1.046498,-0.015922
236.118159,-10.455684,1.013831,-0.016428
222.992461,-10.296390,0.981228,-0.016689
211.710113,-10.150513,0.952801,-0.016698
203.503961,-10.048742,0.927931,-0.015821
195.265610,-9.957963,0.902925,-0.014846
181.806441,-9.792387,0.866870,-0.015270
168.333579,-9.608824,0.830849,-0.015621
156.796224,-9.444816,0.799677,-0.015596
148.654474,-9.348611,0.774438,-0.014664
140.620426,-9.243983,0.748620,-0.013632
130.822789,-9.120084,0.717395,-0.013606
120.826587,-8.980197,0.686870,-0.013570
110.940493,-8.841736,0.656522,-0.013439
102.851300,-8.730684,0.631240,-0.012980
95.084845,-8.633192,0.605789,-0.012395
87.301735,-8.534702,0.581491,-0.011714
77.815550,-8.423077,0.552932,-0.011954
68.393395,-8.294608,0.525414,-0.011927
58.902028,-8.176845,0.499318,-0.011791
49.513924,-8.027248,0.475649,-0.011529
40.156909,-7.879791,0.453373,-0.011188
31.162605,-7.753747,0.430669,-0.010925
23.754421,-7.669388,0.410882,-0.010612
15.296411,-7.598590,0.386692,-0.010510
