x,y,z,bank_angle
972.951783,467.957888,2.311389,-0.158350
973.417442,458.592721,2.297026,-0.156936
973.683734,449.269246,2.279897,-0.153677
973.809802,439.955799,2.260349,-0.149031
973.852605,430.619435,2.238665,-0.142914
973.851632,421.221153,2.215060,-0.135487
973.831571,411.802147,2.189669,-0.127560
973.793335,402.106374,2.162664,-0.120427
973.732606,392.357389,2.134205,-0.113790
973.648574,382.648259,2.105009,-0.107553
973.546296,373.420413,2.076036,-0.101511
973.437423,364.545444,2.048328,-0.096000
973.330069,356.239513,2.022675,-0.090728
973.227180,348.210522,2.000063,-0.086076
973.127233,340.338829,1.980908,-0.082151
973.020323,332.167557,1.965338,-0.078585
972.905379,323.723399,1.953209,-0.074085
972.807823,316.703935,1.942498,-0.071861
972.704053,309.553724,1.935790,-0.069774
972.594074,302.386242,1.933077,-0.067906
972.459127,293.527317,1.936734,-0.066144
972.348197,286.350956,1.941366,-0.065653
972.244418,279.150044,1.949696,-0.065332
972.140649,271.975595,1.961495,-0.065110
972.001002,263.142533,1.979545,-0.065667
971.871117,255.997717,1.998295,-0.066733
971.696490,248.683759,2.021506,-0.067732
971.457138,241.283703,2.049617,-0.068119
971.027457,231.879157,2.086232,-0.070990
970.396073,222.344296,2.128564,-0.073535
969.517759,212.685715,2.176778,-0.075855
968.401112,203.413044,2.229450,-0.078482
967.029363,194.534560,2.284854,-0.080978
965.842399,187.894227,2.338381,-0.084680
964.492638,181.724815,2.391791,-0.088347
963.430318,177.450641,2.441753,-0.093204
961.617178,171.170385,2.492900,-0.098609
959.369185,164.364516,2.541708,-0.103414
956.211598,155.531410,2.589910,-0.109452
952.695527,146.618371,2.634649,-0.114078
948.820269,137.712695,2.675566,-0.117483
944.747425,129.205795,2.712972,-0.119139
941.354665,122.577571,2.745411,-0.123424
937.847073,116.295396,2.775057,-0.126572
934.079444,110.010420,2.802007,-0.128869
930.159110,103.676198,2.827262,-0.132161
926.005020,97.423190,2.850835,-0.134077
921.586120,91.238520,2.873086,-0.134131
915.923960,83.736292,2.895074,-0.136869
909.932629,76.385389,2.915715,-0.136804
904.867455,70.494345,2.934169,-0.140099
899.599945,64.796134,2.951186,-0.141843
894.141056,59.292783,2.966471,-0.142110
887.279134,52.735505,2.981017,-0.143097
881.524681,47.523501,2.993779,-0.145756
875.645876,42.574842,3.005180,-0.146595
869.619659,37.877854,3.015086,-0.145379
862.100697,32.332193,3.024097,-0.148228
854.340945,27.032548,3.032228,-0.148819
847.896065,22.863134,3.039188,-0.150688
841.334677,18.933259,3.044958,-0.150930
834.596784,15.211377,3.049356,-0.149692
826.172245,10.840482,3.052381,-0.150787
817.544146,6.750290,3.053472,-0.148647
810.370892,3.576713,3.051757,-0.151008
803.111254,0.677819,3.047265,-0.151354
795.775225,-1.931830,3.039626,-0.149320
786.771574,-4.836587,3.028693,-0.149551
777.828992,-7.343929,3.013665,-0.148583
768.896477,-9.467446,2.994045,-0.147041
761.556523,-10.956822,2.971353,-0.151213
754.126151,-12.164372,2.944509,-0.152094
746.681752,-13.094977,2.914237,-0.149418
737.706933,-14.025099,2.879851,-0.150792
728.605056,-14.689922,2.843717,-0.149069
721.163139,-15.081993,2.808106,-0.147928
713.440307,-15.342199,2.771832,-0.144732
705.526607,-15.484758,2.734960,-0.139700
695.577171,-15.600142,2.695679,-0.134418
687.346986,-15.657171,2.656751,-0.129639
679.001029,-15.671919,2.616117,-0.122751
670.570759,-15.658063,2.573521,-0.114355
660.170819,-15.592363,2.527171,-0.110890
649.639230,-15.496803,2.478630,-0.105800
638.911888,-15.373521,2.428298,-0.099328
630.011687,-15.266396,2.379343,-0.095091
621.036983,-15.156216,2.329964,-0.088995
612.152958,-15.052259,2.280943,-0.081763
601.422623,-14.923324,2.230673,-0.079175
590.834635,-14.796872,2.182268,-0.075567
580.254198,-14.668649,2.136079,-0.071155
569.638860,-14.533945,2.092193,-0.066192
560.865355,-14.418168,2.053023,-0.063769
552.110615,-14.302762,2.015691,-0.060260
543.407987,-14.195434,1.979997,-0.055884
532.885880,-14.069865,1.943109,-0.053947
522.468924,-13.949976,1.907504,-0.051322
512.149011,-13.829373,1.872917,-0.048178
503.736738,-13.727554,1.842108,-0.046176
495.360217,-13.620253,1.812206,-0.043579
487.182670,-13.511438,1.783048,-0.040658
477.330433,-13.383524,1.751437,-0.039614
467.646746,-13.266601,1.720012,-0.037489
459.665988,-13.175943,1.692047,-0.035805
451.532188,-13.084513,1.664526,-0.034094
443.073467,-12.987946,1.637262,-0.032118
432.765436,-12.875449,1.607040,-0.031145
422.533538,-12.767719,1.577019,-0.030073
412.712059,-12.670410,1.547283,-0.029050
403.083743,-12.573186,1.517541,-0.028041
393.756402,-12.474847,1.487884,-0.027102
384.394124,-12.363975,1.458344,-0.026078
376.838369,-12.268888,1.432841,-0.024692
369.180130,-12.170005,1.407657,-0.023187
361.516969,-12.065353,1.383000,-0.021705
351.901238,-11.935694,1.354919,-0.021323
342.065252,-11.810003,1.326967,-0.020605
332.034031,-11.686797,1.298602,-0.019781
321.909210,-11.561277,1.269773,-0.018896
313.564078,-11.453172,1.244871,-0.018366
305.199552,-11.338728,1.219692,-0.017530
296.875962,-11.221258,1.194545,-0.016475
286.752770,-11.078950,1.164975,-0.016493
276.832733,-10.946434,1.135408,-0.016375
267.110041,-10.821141,1.105720,-0.016215
257.342306,-10.703357,1.076317,-0.016109
