E,N,U
692.2880867933616,0.4986494208913541,702.9554499026901
700.86546714589,0.5337153299889792,702.9092751620557
709.1363858411012,0.5658128876361275,702.7809085516673
717.6116017023177,0.5668792900291919,702.6285393477586
726.0679336897408,0.6239540694638777,702.316877977384
734.9372899878827,0.6529932379909837,701.7927761126188
743.4368859877497,0.7320907639348206,701.0177743936166
752.561560427396,0.7591480822580365,699.830758753556
761.668428112579,0.8022465765138804,698.1649938835462
770.8851937720287,0.8363486298176213,696.2208761411426
778.9283160016957,0.8315916122601834,694.1749478098994
787.1979310662487,0.9118291528935742,691.8206916423817
795.7672850115359,0.8710644515002741,689.0321823709681
804.2777702740132,0.9113327005593987,685.887412213918
812.9736464032632,0.956610180784196,682.3135545531342
820.7401807231852,0.9939786185099138,678.881955948291
828.5266598004819,0.97437595928983,675.0452592559717
837.4789089595333,0.95571603775619,670.1807388383842
845.7805174376007,1.0271216131786218,665.3616869925388
853.5335982317201,1.034603157240781,660.3799626102622
860.276303236936,1.0521723761878548,655.7460498412227
867.2477050600222,1.033737621924729,650.7421408890946
874.1835249519559,1.0313640439845244,645.0667988997778
881.4324301169295,1.0489800020330904,638.9366753378695
887.7098172333999,1.0556852787875641,633.1312315754486
894.489004640775,1.0484001723941105,626.3922407698067
900.6308747950422,1.0711810922629184,619.755232003523
907.1335774559616,1.0819367021905464,612.712254310097
913.0633238189137,1.1117957117122614,605.2942180099722
918.3546593184749,1.142699405981773,598.2325188360154
923.6825909145158,1.1526440443561796,590.5387779797893
929.0449133408854,1.1236081333951233,582.4262468087967
933.8465245647483,1.1676496582468872,574.2032960928286
938.6114761047879,1.1827100729369135,565.6677587358611
942.5292826022294,1.2198422084556455,557.5776388353573
946.6013869110759,1.24799498495355,548.8332033999184
950.1616410270728,1.2621987124258567,540.2181328023507
953.0390798031376,1.248444433728082,532.1640758154753
955.5745674004031,1.2897094723906548,524.3609862546612
958.1355367666774,1.342039015078626,515.5815731467508
960.5043924670766,1.3074104156741555,506.47501621166646
962.5978695899202,1.3868600763720451,496.7201762196249
964.4481393276753,1.3733802873927061,486.3187471535244
965.5323996660952,1.375867939839054,477.6773295074918
966.3690852007167,1.4003594969950086,469.33311122312693
967.0913549865348,1.4149272733851603,460.0202820467193
967.3050960450998,1.4595687593267712,450.5653197415534
967.4177749261344,1.4712449503400649,440.6273366215367
967.32843240166,1.4998821193017875,431.49355108905144
967.0714554629925,1.4725020174029169,422.80853849178436
967.0464890826067,1.5011577754701761,412.84230183775674
966.8449913215079,1.4688137918548136,403.05078155261987
966.6679682222036,1.4564131260763133,393.8750318016763
966.7041828694012,1.4689219057851233,385.4452203318575
966.3946510798493,1.4499939459371376,368.06833147256935
966.2612560965342,1.436196566702563,364.89013653795587
966.1987725713245,1.452574394598173,358.3847209959805
966.080718195269,1.5080323396717858,350.45507189292084
966.0348111759639,1.5175007334504471,341.9421899207202
965.8889638212087,1.5550009649604704,332.8923338769262
965.7575319565403,1.5885210146884674,323.1547656437914
965.608338081109,1.5690299601727133,313.3957844241226
965.3481116472552,1.6195666323991418,303.0938358265707
965.2677442454609,1.627087665958868,292.17439357331784
965.1585864617404,1.6585232199236657,282.8667490491281
964.9705953194137,1.6789676870030235,273.31331191819135
964.9014055883592,1.74040771218921,263.08415082266015
964.7489358122616,1.7128495096891356,252.71539094111986
964.5643074838824,1.7422569277350703,242.93671226484557
964.1853969770913,1.762659099526445,233.69758778323575
963.5799669325702,1.759103116537915,223.862394701199
962.6781270721915,1.7935372817495931,215.20308448808805
961.1788841567466,1.8341100770824141,204.673350553924
959.5886458979769,1.8626308707287649,195.71687214829484
957.5898077345414,1.8702021775292792,186.69359790266253
955.0524423110876,1.8368604726849185,176.96805907732494
952.1464628846975,1.830554693591239,167.37355624519864
949.0450887429827,1.8732551288061359,158.07023723964144
945.8593491764465,1.8499301690710013,149.74580938975083
941.955222403757,1.8237052908880855,141.14476106246104
937.7324377709151,1.8425209561448241,132.17972764717342
932.5014571729553,1.8264829481150855,122.49444152631462
927.3737664359794,1.8383967959092047,113.60476596470308
921.8374825373065,1.8313475891450253,105.06622086680619
915.8948239457716,1.8353418601410567,96.44887693580723
910.1753650059536,1.8452744273978965,88.74276219326484
903.8063635981287,1.8542855326037397,80.98440030809041
896.4480422535046,1.7934251732539224,72.80124248561884
888.4568487776401,1.838636020350009,64.44164975944008
881.3272954730825,1.8386914234921505,57.78205928499405
873.7225174571646,1.802796768528367,51.173845551160596
865.9256587699084,1.7719102016962438,44.869655504923216
857.9467194671367,1.8030305027174336,38.88148002692454
850.0510532884402,1.7631212529062168,33.43284850692774
841.1494346450893,1.8193309938457674,27.903704472226725
831.8458708866231,1.829575601133513,22.506440587150912
821.9049725054779,1.813883752371737,17.353251240100903
813.052216781175,1.8240313974390574,13.129288772012504
803.3234040839636,1.829274326456357,9.108295067732648
793.7045169034998,1.8284858067053165,5.48211282261909
784.5175553472945,1.8356272401004503,2.4297410922995013
774.9897117932262,1.7717955082873118,-0.2740634859385125
764.9611131946167,1.7700086731754823,-2.8074414984961003
754.2407648468832,1.700287483725333,-4.82438679142993
748.9633118336903,1.6699102770276681,-5.679984922623468
738.7759289733779,1.6101000996598032,-7.0511727338842825
727.8646072968186,1.5783567168649597,-8.006128530833301
717.2586420562858,1.6595605663608808,-8.592811263395408
706.3628686340608,1.6627795061437496,-8.720435428056454
695.0273999458249,1.6640281921679616,-8.58598452537629
683.3066370453018,1.6072980250101523,-8.487504834126902
671.9522900994733,1.5805076408088325,-8.335067509972106
661.0220950965496,1.5676528588125507,-8.23915573246887
650.4494259836852,1.516742919905198,-8.011348065473978
638.1202040957228,1.5219917492361787,-7.8529151790462315
625.8964607049264,1.4862063594052302,-7.649088983136849
613.8537027790206,1.4453799416666584,-7.506927533987902
602.0674381116802,1.449506511954553,-7.3168032576779005
590.755285594913,1.41556713753846,-7.210611868163227
579.8339759962716,1.4115720216793193,-7.116410418533608
568.5584658547469,1.3845899193057107,-6.932279502586248
556.9109956914244,1.3996203443026616,-6.801249726215069
544.2053693920059,1.3937201463879774,-6.575151823692007
533.0897490573898,1.3656614273798482,-6.447546497703968
522.389395701462,1.3295491474440269,-6.373041999719629
511.08169000893986,1.3374676958528084,-6.290829536534144
499.73512000899194,1.3133692675864381,-6.13924202535377
488.4018728538638,1.2702496598430741,-5.896010641864343
477.50054987991246,1.2450773235774193,-5.789815289765123
467.00783231349595,1.2188563334082971,-5.675910987967804
456.10095737403253,1.1826477543976637,-5.544020503058508
443.64404919708994,1.1655287045291516,-5.474654183888838
432.2930382226631,1.1213103195161693,-5.273387903200078
421.351745115834,1.1060444691918008,-5.174042830629013
410.7590987202354,1.084737233717874,-5.157776671628184
405.6104507646843,1.07206753802339,-5.21173896676904
395.4253003879227,1.0647088205072066,-5.141513645803162
385.02363044450306,1.0003468893018521,-5.088418075275957
373.02973534166586,0.9740616924072469,-4.801500796438608
362.51592313986805,0.9346696337589435,-4.6113656046093965
352.3596440543258,0.9542403271179865,-4.526578672439168
341.86803934347853,0.9178128782522492,-4.3766979251112055
330.81127205460655,0.8843975259968033,-4.243090542819191
320.14645421115705,0.8339432496323127,-4.100061065284594
309.2418050076394,0.8174826883266064,-4.060667873733015
298.29607040770077,0.7380054893990575,-3.8140011875289925
287.23708462195566,0.7235144752318661,-3.7189348743243578
275.5407609554866,0.640031958690571,-3.4679848190179445
265.3034292353393,0.6734671768949454,-3.3617828249648642
255.2193215162155,0.6328797504560981,-3.3018317841069393
249.85082727040503,0.5980929114516158,-3.1922011958161285
239.319253623252,0.5724978869979509,-3.0346080828121256
229.08525224905588,0.5728746789614974,-2.9549567764785163
218.6169685657502,0.5502430657774227,-2.8633141895051715
207.49469411814715,0.4996156201322748,-2.70743320763469
195.54299749517895,0.48699427330451783,-2.546412988895261
185.09247942379884,0.4423069384025098,-2.4693301715176004
174.9795044378591,0.38159320004679387,-2.2860391450091937
164.25917453612067,0.33887908177267434,-2.1335824042881475
152.9814555758253,0.34116033884492936,-1.927164781491375
141.83364638737584,0.33541866807856024,-1.84322872676539
131.05002743366444,0.2656499961745027,-1.6556533918133516
120.63948352787858,0.22485596195885194,-1.5340296089179342
109.3617653459022,0.2150598579366232,-1.3978447787436403
98.8013260670148,0.16623266046288165,-1.2608029005519015
88.11097758213637,0.1293897347258124,-1.0989214449832159
77.75373179097086,0.13952477554582998,-0.9507439233610149
67.78510442178333,0.10163880295662153,-0.9413233545312694
57.878656740126885,0.11173667740811766,-0.6800834489005161
48.072139831536276,0.13381834676754423,-0.579013855401664
38.69199325539719,0.14788232099103382,-0.45910030533860247
28.792207844713708,0.13193483604228362,-0.3434691413063009
20.162650530064518,0.0359680397464075,-0.32719540557153926
11.727403151219171,0.04698918750463754,-0.2038549536525659
3.916166489798905,0.016998792010044506,-0.11220599108485135
